Date,Time,Club,Club Head Speed (mph),Ball Speed (mph),Launch Angle (deg),Launch Direction (deg),Total Spin (rpm),Carry Distance (yd),Total Distance (yd),Smash Factor,Accuracy (yd),Peak Height (yd)
"2024-07-06","18:44:56","8H","91.7","120.9","19.9","-6.9","6349","167.7","165.9","1.318","0.6","94.8"
"2024-09-08","18:50:33","8H","92.2","122.2","21.4","-11.0","6016","136.3","137.0","1.325","5.6","83.8"
"2024-04-12","12:12:36","3H","88.8","120.8","17.4","-9.5","4215","202.4","211.4","1.361","-16.8","111.7"
"2024-08-11","18:42:26","8H","87.0","114.2","21.7","6.3","4716","159.9","155.4","1.313","-10.0","122.0"
"2024-10-18","06:21:22","4H","88.7","117.5","21.6","-1.8","4837","180.3","186.2","1.326","15.2","106.6"
"2024-01-09","12:51:28","LW","62.6","70.0","54.6","-0.4","10839","70.6","66.9","1.119","4.9","47.2"
"2024-03-27","12:09:15","5W","94.3","130.4","21.4","-3.1","3444","206.3","204.9","1.382","-4.2","115.4"
"2024-08-26","19:44:57","7H","90.7","119.2","17.0","5.3","5928","161.0","163.2","1.314","-0.7","97.0"
"2024-09-12","12:40:53","3H","89.3","123.8","18.0","4.4","5256","176.5","184.1","1.385","-19.4","91.3"
"2024-09-05","19:26:46","2H","96.1","129.8","21.7","-2.2","4515","183.7","187.8","1.351","-17.3","120.7"
"2024-04-21","17:01:52","3W","91.1","128.2","19.1","-11.1","3122","232.8","237.9","1.408","2.0","175.3"
"2024-03-18","15:20:26","5W","102.2","142.0","14.6","12.3","3125","197.6","195.0","1.388","4.1","138.2"
"2024-08-15","10:26:27","2H","98.3","135.7","18.5","10.9","4640","176.0","177.9","1.380","10.2","91.2"
"2024-10-05","16:26:40","9H","86.7","113.1","19.1","-0.1","5329","136.4","136.7","1.304","6.8","85.4"
"2024-05-26","14:39:43","LW","63.0","70.7","51.2","-9.4","9825","77.0","77.2","1.122","0.9","61.5"
"2024-01-26","13:23:29","4H","93.0","123.9","21.4","2.8","5237","171.4","178.9","1.332","-2.6","121.8"
"2024-08-08","07:59:01","9H","85.2","113.5","19.1","-9.3","5259","148.6","145.4","1.332","-13.3","105.2"
"2024-04-05","10:00:01","3H","95.8","131.0","17.1","-2.3","3918","177.3","187.2","1.367","-8.9","131.7"
"2024-10-09","19:59:09","8H","91.8","121.9","20.0","5.2","5195","174.5","184.3","1.328","-10.6","107.3"
"2024-11-14","12:13:18","LW","62.8","71.3","59.6","9.2","9874","80.9","77.0","1.136","2.2","52.1"
"2024-12-26","18:57:20","3H","96.3","133.6","14.6","-0.4","5137","193.3","201.4","1.387","0.7","141.6"
"2024-01-11","18:53:52","PW","80.5","100.2","42.1","5.0","7954","133.2","139.4","1.245","-4.1","85.2"
"2024-12-19","17:09:26","3H","92.7","127.3","15.7","12.6","4222","182.6","186.5","1.373","-7.2","145.8"
"2024-09-01","10:46:23","GW","69.7","82.5","45.1","-10.1","10081","86.3","92.7","1.182","16.1","52.0"
"2024-07-20","09:59:28","SW","74.6","89.4","51.8","-8.8","10353","90.2","93.4","1.200","5.8","65.0"
"2024-08-10","12:22:25","7H","85.9","112.0","21.2","11.8","5808","144.3","148.0","1.304","9.7","92.9"
"2024-02-06","08:19:02","8H","90.6","121.3","16.5","1.0","4864","143.7","152.4","1.340","-14.5","89.7"
"2024-02-27","07:30:01","SW","73.6","86.2","47.2","-5.7","10030","101.3","96.3","1.171","-12.2","51.4"
"2024-05-14","09:45:24","4H","90.8","122.8","17.1","-11.2","3820","158.3","165.2","1.352","-17.4","99.5"
"2024-02-19","17:20:41","2H","97.1","132.2","21.1","13.9","5472","177.5","172.5","1.362","14.3","141.2"
"2024-02-17","12:15:21","5H","96.6","129.9","18.5","-6.4","4099","159.6","168.3","1.344","4.5","102.8"
"2024-05-22","17:09:02","5W","101.0","140.9","13.3","0.5","4021","207.3","215.5","1.395","3.3","116.2"
"2024-12-03","08:20:49","LW","67.3","74.0","51.0","-13.4","10455","80.2","78.6","1.101","17.9","52.7"
"2024-04-05","11:18:04","2H","96.3","131.2","15.6","1.0","5326","181.5","188.4","1.362","19.7","99.1"
"2024-02-11","17:43:25","2H","87.6","120.7","20.2","4.4","5340","187.4","188.9","1.378","2.8","135.0"
"2024-07-15","14:21:08","5H","94.0","124.8","18.4","4.5","4337","172.9","171.9","1.328","-7.2","92.7"
"2024-12-03","15:41:44","4H","93.2","123.8","22.1","-3.2","4489","167.0","169.1","1.329","-7.9","108.3"
"2024-01-04","16:19:49","7H","86.1","113.8","16.5","5.3","5305","157.2","167.1","1.322","-1.5","105.3"
"2024-01-27","13:13:06","9H","88.5","117.6","19.4","-12.8","6457","162.9","171.8","1.329","11.0","120.8"
"2024-02-24","09:07:42","Driver","101.9","152.7","17.3","9.7","3839","221.3","220.9","1.499","18.9","132.2"
"2024-10-05","18:11:23","LW","63.3","70.0","54.3","-5.9","10482","76.7","73.4","1.106","11.3","39.6"
"2024-11-16","18:30:43","GW","77.3","89.4","45.5","-8.3","9343","99.4","107.7","1.156","17.1","53.6"
"2024-07-21","13:04:09","Driver","100.9","148.2","15.5","-13.8","2638","272.2","278.2","1.468","-6.9","200.1"
"2024-02-28","11:16:13","GW","67.6","80.6","48.2","-8.9","8937","101.1","105.1","1.192","18.9","67.0"
"2024-05-19","10:57:40","7H","92.2","122.2","23.6","-10.2","5892","158.3","159.7","1.326","19.0","80.0"
"2024-06-14","10:51:48","5W","98.9","138.4","20.0","6.0","4893","194.5","196.7","1.399","-0.1","98.7"
"2024-01-03","19:52:54","Driver","99.1","146.0","12.1","9.8","2852","262.5","259.4","1.473","-19.3","131.5"
"2024-04-28","10:37:24","7H","85.3","112.5","18.3","-5.2","6256","145.2","154.6","1.319","2.2","107.8"
"2024-09-05","13:02:26","7H","89.0","116.4","23.2","1.6","5437","153.1","159.3","1.308","0.6","91.5"
"2024-11-04","12:59:32","3H","87.2","121.1","17.3","-7.4","5130","188.1","197.3","1.388","-14.0","106.1"
"2024-01-14","10:34:07","LW","68.5","77.0","56.6","-11.4","10721","73.0","82.4","1.123","1.7","54.9"
"2024-10-15","17:09:30","3H","90.8","124.9","18.6","-1.4","4689","170.4","166.4","1.376","-6.5","110.2"
"2024-05-04","08:53:00","SW","68.8","81.4","54.9","11.8","9570","90.2","97.9","1.183","3.1","71.3"
"2024-07-01","18:13:08","3W","104.0","144.9","14.8","-4.3","4303","196.0","198.3","1.393","13.2","104.8"
"2024-02-02","10:47:01","PW","76.2","94.9","44.0","-10.1","7514","144.2","152.3","1.245","-16.0","103.1"
"2024-05-05","12:05:05","3W","91.8","130.4","14.6","4.2","4691","224.7","234.6","1.420","4.3","157.6"
"2024-03-18","10:41:04","9H","88.5","115.9","20.2","1.1","5018","181.0","189.7","1.310","-7.4","133.2"
"2024-08-28","17:41:11","SW","72.7","84.7","46.5","12.1","9321","105.2","108.6","1.166","-14.5","77.8"
"2024-08-24","18:24:54","LW","66.0","74.2","53.0","-4.1","10613","78.2","77.8","1.124","-19.1","47.0"
"2024-05-03","12:51:31","2H","97.3","131.7","21.8","1.2","4230","171.3","171.4","1.354","4.2","87.9"
"2024-02-24","18:07:22","GW","72.2","85.4","53.9","0.9","9336","82.7","88.9","1.184","0.8","65.0"
"2024-09-24","10:31:35","GW","75.3","88.2","46.3","-5.0","9301","94.6","95.8","1.171","-14.9","58.5"
"2024-06-16","10:00:17","2H","92.3","124.9","20.1","-9.7","5452","189.2","184.7","1.354","3.5","118.0"
"2024-10-04","12:10:59","3H","95.4","129.2","18.5","4.8","3588","200.1","210.0","1.354","-13.4","118.6"
"2024-11-17","17:23:16","SW","68.7","80.5","54.4","11.2","9524","109.5","104.6","1.172","14.7","83.8"
"2024-09-23","06:53:19","6H","92.2","122.0","20.6","2.4","4662","152.6","158.6","1.324","6.6","99.2"
"2024-10-15","11:11:01","7H","88.7","115.6","18.1","-10.4","5463","149.1","157.4","1.304","15.5","91.3"
"2024-09-05","16:34:17","PW","77.3","94.5","43.4","2.6","8919","130.8","135.5","1.223","6.9","78.9"
"2024-05-24","09:00:35","7H","85.4","112.2","16.7","4.6","5807","175.2","178.2","1.314","-15.0","125.7"
"2024-01-14","07:20:30","2H","94.3","128.3","15.6","-2.5","3769","176.6","178.2","1.361","11.4","116.7"
"2024-01-11","17:46:59","9H","89.4","117.6","18.5","14.6","6169","133.7","136.9","1.316","10.3","83.6"
"2024-11-07","09:39:46","9H","83.5","111.7","17.9","-6.4","5612","159.6","156.0","1.337","4.3","93.7"
"2024-07-17","18:00:26","6H","94.4","122.9","19.5","-12.4","5124","159.2","163.6","1.301","8.8","98.5"
"2024-10-14","17:27:31","9H","88.7","118.1","21.8","-14.2","4723","175.4","182.9","1.332","-2.7","113.9"
"2024-03-28","16:23:29","7H","94.4","124.3","23.3","8.4","5518","161.5","163.9","1.317","2.8","121.1"
"2024-09-08","11:53:14","3W","97.3","134.9","13.5","8.9","3158","211.6","219.9","1.387","17.4","116.4"
"2024-06-09","16:47:13","4H","96.7","128.3","16.3","-0.9","4914","179.8","188.5","1.326","0.3","108.8"
"2024-02-07","08:20:16","5W","92.9","132.6","20.5","-2.4","4082","185.0","182.3","1.427","-16.4","142.7"
"2024-02-27","19:06:08","3W","102.4","143.5","19.9","-7.2","3343","180.8","189.4","1.401","-13.0","142.6"
"2024-01-28","15:31:27","SW","68.8","82.2","50.0","-4.5","9365","108.8","114.9","1.195","19.4","66.9"
"2024-12-27","09:32:31","3H","89.5","122.2","19.0","14.5","3666","185.7","190.0","1.366","-3.9","101.0"
"2024-05-05","15:26:42","3W","99.7","140.6","19.4","-7.9","3708","201.9","208.4","1.411","14.2","106.6"
"2024-02-15","07:10:44","3W","94.1","130.5","20.4","0.6","3587","238.8","247.0","1.387","-12.4","168.0"
"2024-05-08","08:59:56","PW","78.4","95.6","47.4","-12.0","7816","131.8","133.7","1.219","-19.2","97.6"
"2024-05-09","06:52:56","GW","74.7","86.9","46.0","11.3","10336","112.1","114.2","1.164","-19.6","69.3"
"2024-03-12","19:12:09","6H","91.5","121.4","19.7","14.2","5068","141.7","142.7","1.326","-14.7","94.1"
"2024-11-25","11:36:24","SW","69.2","80.7","51.0","13.4","10491","107.9","112.6","1.166","-12.5","69.5"
"2024-01-11","16:18:09","3W","96.0","136.0","20.3","12.0","3015","204.3","210.8","1.416","-13.3","133.3"
"2024-01-22","12:43:39","6H","93.7","123.3","18.2","-8.5","6028","165.4","174.1","1.315","-18.9","98.0"
"2024-04-04","06:12:53","5W","97.6","135.9","18.9","6.3","3525","176.3","180.1","1.393","10.5","110.3"
"2024-11-20","07:56:49","Driver","96.8","144.3","17.4","-4.3","4334","284.6","285.0","1.490","-4.8","203.3"
"2024-12-06","06:04:09","Driver","110.9","165.3","20.6","11.3","3783","270.6","269.5","1.491","8.1","199.1"
"2024-02-20","18:50:48","9H","90.2","118.8","23.1","9.2","4553","147.4","150.7","1.316","8.1","82.0"
"2024-12-08","19:59:02","GW","70.2","80.9","49.3","4.7","9307","99.3","102.2","1.153","18.1","65.2"
"2024-01-15","10:04:57","Driver","108.1","161.7","21.1","0.1","2813","249.7","249.6","1.495","13.5","182.7"
"2024-06-05","08:22:35","3W","94.0","131.9","20.0","-3.6","4186","204.4","211.5","1.403","3.7","128.2"
"2024-12-14","12:57:41","9H","93.5","122.3","19.8","-14.9","5858","139.1","147.4","1.309","-11.5","80.9"
"2024-10-17","13:48:41","SW","68.8","80.1","53.5","-2.2","10423","100.5","104.4","1.164","4.3","77.6"
"2024-05-16","10:49:50","2H","96.7","134.5","21.0","0.3","4754","178.0","187.8","1.392","13.0","127.6"
"2024-07-13","08:40:35","3H","96.5","133.0","17.4","-10.6","4059","204.6","201.0","1.378","8.6","144.7"
"2024-04-05","06:39:31","5W","89.3","126.7","19.9","4.8","4756","223.5","229.9","1.418","-15.4","167.1"
"2024-07-27","08:48:41","5W","95.6","132.9","19.0","-13.5","3680","203.4","209.7","1.391","13.2","103.8"
"2024-12-13","17:33:53","PW","75.2","91.4","41.1","-11.5","9446","113.6","114.9","1.215","19.6","79.3"
"2024-07-20","14:12:40","GW","71.8","85.4","50.7","-14.7","10274","106.0","103.9","1.190","-11.4","83.7"
"2024-09-04","07:39:38","9H","85.3","111.0","21.2","-11.0","6423","158.9","160.3","1.302","-10.6","121.3"
"2024-08-01","15:38:10","4H","90.4","121.1","22.3","7.7","5200","191.7","199.5","1.339","-19.1","127.2"
"2024-12-08","15:17:01","3H","97.9","136.9","18.3","8.4","4575","165.1","174.6","1.398","-7.3","108.5"
"2024-12-10","16:10:56","LW","68.8","75.7","56.0","4.5","10186","83.1","83.4","1.100","-8.7","47.3"
"2024-06-28","07:21:14","4H","95.0","128.0","22.3","-6.4","4944","160.7","161.0","1.346","14.9","95.4"
"2024-03-20","12:45:15","SW","74.2","88.9","53.3","-2.8","9427","88.6","93.2","1.198","-10.9","53.5"
"2024-04-12","11:15:23","5W","100.9","140.7","14.3","-7.1","3841","205.3","214.1","1.395","-0.5","134.3"
"2024-06-04","11:55:52","6H","90.5","120.5","17.0","3.0","5640","146.0","148.3","1.332","-13.9","92.2"
"2024-09-10","16:57:31","Driver","109.8","163.9","19.9","-8.9","2525","296.8","294.6","1.492","-15.9","236.5"
"2024-02-28","08:14:25","6H","94.2","123.6","16.7","7.9","6487","177.5","176.6","1.311","9.0","122.6"
"2024-03-19","17:50:32","8H","86.8","116.1","22.1","-10.0","6146","158.6","166.5","1.336","-2.5","87.0"
"2024-03-23","18:03:47","6H","89.7","117.6","17.0","-10.9","4818","136.6","138.1","1.311","-1.3","107.1"
"2024-12-18","11:46:05","6H","86.9","114.0","20.8","-3.3","5175","174.6","174.2","1.312","-17.2","124.6"
"2024-08-09","18:49:20","5W","97.1","135.7","17.4","10.3","3586","211.1","217.3","1.398","-5.7","140.1"
"2024-02-21","10:33:47","5H","94.5","127.5","20.7","0.3","4801","141.9","138.5","1.349","-7.2","99.3"
"2024-12-11","07:31:02","7H","83.8","111.0","22.6","10.7","5952","178.7","177.4","1.324","-12.8","99.0"
"2024-02-02","16:22:56","2H","89.0","121.7","21.2","1.5","4665","189.9","193.1","1.368","-1.7","122.4"
"2024-07-05","06:20:04","7H","90.8","120.2","21.9","14.9","5082","181.0","189.6","1.325","-14.7","122.0"
"2024-06-27","14:01:02","3H","90.8","125.5","14.1","7.4","4459","188.8","197.9","1.383","0.4","135.1"
"2024-07-07","15:46:48","Driver","105.2","157.3","15.8","-6.8","3084","289.3","285.9","1.496","2.8","170.8"
"2024-11-14","07:32:21","3H","94.9","131.0","19.0","-8.4","4149","159.9","157.2","1.380","-16.2","81.1"
"2024-12-15","13:33:30","5H","94.9","128.9","18.8","10.9","4991","171.4","174.9","1.357","6.7","122.8"
"2024-12-10","13:08:31","6H","92.3","122.4","17.9","9.6","5710","144.1","139.6","1.326","-17.6","108.8"
"2024-07-07","06:36:05","2H","94.9","128.4","15.3","13.1","4677","185.6","183.2","1.353","8.4","102.7"
"2024-12-23","12:37:57","GW","68.3","81.7","50.2","-3.8","8516","84.4","79.5","1.196","1.6","43.2"
"2024-11-05","15:28:29","6H","89.6","118.7","20.7","-12.5","5368","157.5","158.2","1.325","-14.0","121.4"
"2024-11-01","16:12:52","8H","93.5","122.1","16.4","9.3","5843","152.2","159.7","1.305","15.9","117.1"
"2024-09-12","10:32:57","5W","92.3","129.8","19.9","-7.9","3930","215.2","214.5","1.405","-14.0","133.0"
"2024-09-08","08:09:36","7H","88.2","116.7","17.9","-11.1","4980","147.1","156.5","1.324","-8.4","80.4"
"2024-01-02","09:34:10","GW","69.0","82.1","51.4","-10.2","9086","106.0","111.8","1.189","-3.8","59.7"
"2024-01-09","10:43:37","7H","87.9","114.5","23.9","-11.5","6133","153.2","156.1","1.303","12.8","78.8"
"2024-05-12","08:12:56","6H","90.1","119.1","23.5","-4.5","5812","163.9","163.1","1.321","9.0","108.7"
"2024-06-20","18:43:56","6H","93.7","123.4","20.1","-1.9","5908","148.6","154.1","1.317","0.1","86.8"
"2024-11-11","11:30:58","4H","91.1","123.6","15.6","8.2","4907","151.6","149.9","1.357","7.5","105.9"
"2024-04-07","11:48:13","3W","95.9","133.3","15.0","-1.7","4592","194.4","190.1","1.391","-1.4","131.5"
"2024-06-24","14:06:08","8H","89.6","119.8","23.0","-9.4","5559","140.6","146.5","1.336","-1.6","109.9"
"2024-09-17","17:17:44","Driver","101.2","147.2","21.2","-7.3","3238","295.0","296.3","1.454","-9.2","210.4"
"2024-10-24","12:22:34","8H","89.7","116.7","22.6","-6.6","4739","160.5","155.9","1.301","12.4","117.0"
"2024-11-24","06:20:02","6H","83.8","111.0","22.8","1.6","5787","149.8","158.4","1.323","13.2","92.3"
"2024-01-10","19:25:13","3W","97.6","137.8","21.5","13.7","3367","221.6","219.7","1.412","6.1","155.5"
"2024-01-19","07:13:25","9H","92.1","121.9","18.4","6.5","6302","166.1","174.8","1.324","-14.8","97.9"
"2024-08-12","18:41:27","GW","73.9","87.7","48.8","-8.4","9099","91.9","100.1","1.188","-13.4","47.9"
"2024-01-22","08:38:21","4H","91.4","123.9","15.1","12.8","4273","165.4","162.1","1.356","-8.0","108.5"
"2024-03-11","08:11:39","5H","92.3","123.2","22.9","3.8","4642","175.9","177.6","1.335","-11.2","102.2"
"2024-09-15","06:02:50","Driver","99.6","146.4","18.0","-13.1","2224","238.2","247.9","1.470","16.8","133.2"
"2024-09-14","08:08:38","8H","87.7","114.9","18.5","6.3","6367","166.4","167.0","1.311","-10.8","84.4"
"2024-05-16","10:24:33","7H","84.3","112.9","19.4","-0.9","5868","145.5","155.3","1.340","-6.3","104.1"
"2024-08-07","15:24:41","5H","88.6","119.0","19.5","-0.7","4066","187.3","191.0","1.343","-18.0","116.7"
"2024-08-07","13:50:26","6H","88.4","115.0","21.1","-8.9","5144","179.2","186.6","1.301","-17.5","118.3"
"2024-08-05","10:59:23","3H","94.1","127.9","20.2","14.2","5147","184.0","187.0","1.359","9.3","99.7"
"2024-07-26","12:28:40","3W","88.2","125.1","17.7","10.1","3029","243.7","250.5","1.418","19.5","181.7"
"2024-03-25","13:08:04","3H","89.3","124.3","17.2","8.9","4256","193.8","195.6","1.392","0.0","122.9"
"2024-11-04","07:04:15","SW","68.0","81.0","45.2","0.7","10205","90.6","98.4","1.191","3.6","58.4"
"2024-08-17","14:07:58","7H","88.7","116.3","22.7","7.9","6370","169.6","175.8","1.311","-0.8","93.7"
"2024-03-09","14:24:16","4H","87.9","118.6","22.7","-4.6","5341","160.5","163.3","1.350","17.8","106.5"
"2024-09-19","11:17:43","GW","68.5","80.7","45.5","-3.1","10033","99.9","106.6","1.178","-18.5","60.5"
"2024-08-21","11:11:53","PW","81.6","101.8","43.7","8.5","8594","109.5","117.2","1.247","0.3","79.1"
"2024-10-17","09:04:03","LW","70.7","78.0","55.0","-7.2","10589","89.8","90.8","1.102","-0.4","50.9"
"2024-10-23","17:08:55","4H","90.1","119.4","15.2","1.8","4174","178.3","176.5","1.325","-19.2","133.4"
"2024-01-07","09:36:34","LW","63.8","72.2","58.7","4.0","10020","67.9","65.6","1.132","-11.3","45.4"
"2024-07-13","12:34:40","SW","73.2","85.6","54.7","-4.1","10093","105.6","101.0","1.170","-3.0","67.1"
"2024-02-11","11:17:55","GW","73.5","86.4","47.5","-13.9","8552","85.7","92.4","1.176","16.3","50.9"
"2024-10-03","13:59:16","5W","98.6","138.2","19.8","8.7","4921","199.7","199.2","1.402","-19.5","141.2"
"2024-10-13","19:45:32","4H","89.2","117.9","15.7","-12.2","4556","149.5","148.3","1.321","-17.4","87.4"
"2024-10-05","14:48:42","4H","87.5","117.4","16.6","1.4","4107","147.8","147.2","1.341","16.9","86.3"
"2024-10-22","18:49:30","LW","67.7","76.8","58.0","8.2","10433","74.8","72.0","1.135","-0.7","46.0"
"2024-11-16","07:45:53","8H","89.6","118.7","22.9","5.4","6387","161.6","161.6","1.325","14.0","122.7"
"2024-12-22","09:06:57","Driver","101.7","151.8","19.1","14.3","4287","274.0","282.5","1.492","-4.7","182.7"
"2024-09-26","14:03:08","LW","62.3","70.7","57.9","-12.8","10939","83.3","90.4","1.135","-19.2","50.8"
"2024-09-05","12:58:41","Driver","106.6","157.6","11.0","-12.3","4044","225.2","224.1","1.479","-12.2","150.1"
"2024-02-11","13:11:08","6H","87.1","116.1","21.6","-10.9","5895","138.9","147.7","1.334","-8.5","83.3"
"2024-05-01","09:12:15","2H","88.3","120.4","20.3","7.3","4041","193.1","193.8","1.364","-14.5","123.9"
"2024-10-12","19:57:30","SW","74.0","87.8","47.3","-0.9","9958","94.6","97.6","1.186","0.0","70.2"
"2024-02-19","07:28:27","9H","85.3","112.4","21.6","1.2","4821","148.3","154.9","1.317","-16.9","90.8"
"2024-03-23","18:50:23","PW","72.4","90.5","46.7","9.0","8838","136.7","132.1","1.249","-17.9","90.2"
"2024-06-06","12:07:08","3H","89.2","123.7","15.7","15.0","4821","198.4","199.1","1.386","-1.3","139.2"
"2024-02-10","14:55:22","8H","90.7","120.2","17.3","-10.7","6424","172.2","179.2","1.325","-1.5","111.9"
"2024-10-01","15:24:40","5H","85.4","115.9","22.7","-0.8","4740","161.6","169.7","1.357","18.4","108.4"
"2024-03-08","17:20:50","3H","87.1","120.6","21.1","2.2","4762","191.9","198.1","1.384","-16.4","102.5"
"2024-12-25","10:51:52","2H","94.7","131.1","14.8","-5.8","5302","177.3","179.3","1.384","11.3","138.1"
"2024-10-18","19:51:15","7H","92.3","122.2","19.7","9.7","4555","142.9","138.7","1.324","5.4","91.9"
"2024-04-12","17:14:10","9H","86.9","115.3","17.6","7.7","5803","141.5","146.5","1.327","18.0","84.2"
"2024-01-04","06:25:27","7H","84.7","111.7","23.3","12.5","6416","165.5","163.6","1.320","0.4","124.5"
"2024-05-23","09:13:42","3W","99.6","139.5","21.7","-8.0","3114","220.5","217.7","1.401","19.2","128.4"
"2024-02-17","19:21:35","PW","76.7","94.5","42.6","-6.1","7701","141.2","146.5","1.232","8.0","79.1"
"2024-01-06","17:02:44","5H","95.5","126.4","21.7","-12.3","4145","163.9","160.0","1.324","-0.7","128.7"
"2024-12-18","13:10:22","9H","91.8","122.6","16.9","-2.8","6357","171.0","172.5","1.336","-15.5","93.5"
"2024-08-10","15:05:26","LW","67.4","74.8","59.6","-4.0","9526","74.7","73.7","1.109","-10.0","41.7"
"2024-05-20","07:23:19","5H","91.6","123.9","22.1","12.8","5009","178.3","177.9","1.353","-15.7","124.4"
"2024-08-12","10:28:03","3H","92.3","126.0","19.6","-3.4","4878","184.8","185.4","1.365","0.2","117.8"
"2024-08-17","14:45:22","7H","93.0","122.6","22.8","5.6","5722","143.8","149.2","1.318","1.7","92.5"
"2024-11-26","14:25:09","2H","90.7","124.5","14.7","9.2","3923","197.0","203.5","1.373","-13.7","102.0"
"2024-11-25","09:54:16","4H","88.5","116.9","17.5","12.2","4008","171.9","180.9","1.321","14.4","104.5"
"2024-02-28","07:49:41","LW","66.4","74.8","51.9","-14.2","9725","83.4","81.4","1.126","12.2","53.2"
"2024-03-15","16:59:56","2H","88.8","123.3","18.1","-1.7","4955","192.8","193.4","1.389","-6.1","130.2"
"2024-04-23","15:44:06","GW","69.1","81.9","53.0","13.4","9001","97.9","100.7","1.185","-16.6","74.0"
"2024-03-25","15:07:18","2H","92.8","127.4","20.4","-9.0","5486","180.5","184.4","1.373","19.3","93.5"
"2024-05-21","19:30:50","5W","91.7","129.0","16.6","-8.8","4934","203.3","211.5","1.407","-18.6","130.1"
"2024-03-25","10:58:22","3W","99.9","139.0","16.5","-9.1","4984","214.8","222.0","1.392","-13.0","166.1"
"2024-10-16","11:34:14","Driver","110.4","162.8","14.0","6.5","3247","301.8","308.0","1.475","17.0","154.0"
"2024-12-02","14:56:47","8H","90.9","121.8","19.9","2.8","5210","171.9","177.5","1.339","-18.4","101.7"
"2024-01-22","19:57:18","GW","70.5","83.0","51.0","-13.9","8502","97.1","95.1","1.178","4.5","61.6"
"2024-06-01","16:53:15","6H","92.2","121.2","23.9","2.7","4537","166.3","170.5","1.314","3.2","130.2"
"2024-05-08","08:21:12","3H","94.7","131.8","16.3","-3.3","3636","187.6","189.5","1.392","-18.9","139.8"
"2024-09-17","10:35:36","9H","85.5","111.6","17.6","15.0","6043","157.7","159.9","1.304","12.8","104.9"
"2024-06-11","07:08:13","SW","71.2","82.3","47.9","-7.1","9162","103.7","109.8","1.157","-17.1","63.6"
"2024-08-16","12:08:44","8H","83.2","111.5","22.2","0.1","6365","173.0","175.2","1.340","4.7","138.0"
"2024-07-04","13:30:58","3H","94.1","129.3","22.0","-12.6","4916","187.7","185.7","1.374","14.2","114.4"
"2024-06-19","11:07:46","5H","92.2","121.7","15.5","-4.0","4578","175.2","175.1","1.320","8.2","92.9"
"2024-01-22","12:10:03","2H","97.9","132.6","16.5","14.4","5217","158.2","156.4","1.354","3.0","123.7"
"2024-01-28","16:39:08","PW","72.8","90.1","45.8","-14.0","9155","121.9","119.7","1.238","12.0","77.0"
"2024-04-23","19:55:00","GW","71.3","84.3","50.2","10.8","8883","88.4","87.5","1.182","8.3","66.6"
"2024-03-05","08:33:04","LW","65.4","74.1","58.4","-15.0","9933","74.6","76.1","1.132","-0.7","46.0"
"2024-08-08","14:16:14","2H","87.9","122.3","19.7","11.4","4300","190.8","187.0","1.391","8.5","99.1"
"2024-05-20","09:52:10","LW","65.3","72.1","58.4","-4.6","10279","67.3","69.6","1.104","-14.6","36.9"
"2024-01-26","12:28:21","5H","95.3","129.5","20.6","-11.2","5585","164.6","163.2","1.358","2.8","106.1"
"2024-03-12","15:26:23","7H","89.7","118.8","23.8","-12.9","5363","149.3","157.8","1.325","-11.0","118.3"
"2024-05-25","15:42:35","8H","88.0","116.9","21.3","-11.3","5736","150.2","154.7","1.328","-18.9","95.0"
"2024-04-15","13:57:34","GW","69.0","81.0","46.5","-4.2","8597","85.8","89.6","1.174","-17.1","56.4"
"2024-10-02","18:59:01","8H","90.0","118.4","21.8","-2.7","5707","149.3","145.8","1.315","-4.4","80.9"
"2024-06-26","10:22:59","8H","90.5","120.3","20.5","-4.8","6138","161.4","159.9","1.330","14.4","102.9"
"2024-01-15","06:26:15","3W","91.6","129.6","17.2","13.7","3728","197.8","207.7","1.416","16.0","114.6"
"2024-03-20","08:02:41","3W","97.3","134.4","13.1","8.7","3288","220.9","222.0","1.381","-16.4","135.0"
"2024-07-13","06:29:31","Driver","114.6","166.7","13.0","-4.6","3118","283.6","293.2","1.455","7.3","164.0"
"2024-11-23","09:12:38","5W","95.3","134.9","17.7","9.3","3085","199.0","199.0","1.415","18.8","137.7"
"2024-02-28","17:15:59","9H","86.0","112.4","18.3","-10.3","6074","163.6","160.2","1.307","1.6","104.3"
"2024-04-12","14:57:22","3H","88.8","121.7","14.3","11.1","4367","158.9","166.4","1.371","7.7","80.4"
"2024-02-28","18:05:37","3H","95.8","133.2","17.8","-13.8","4286","185.2","186.9","1.390","9.5","135.7"
"2024-03-26","10:42:54","7H","85.7","113.4","20.3","10.4","5501","156.3","156.3","1.324","15.0","96.4"
"2024-09-22","09:35:44","5W","90.9","125.8","17.6","-8.8","4554","179.5","179.9","1.384","-14.1","117.1"
"2024-03-13","13:07:27","3H","87.1","120.3","20.3","-8.8","4566","177.9","181.2","1.381","8.8","93.4"
"2024-08-21","13:41:38","PW","80.8","98.1","41.3","13.7","8250","121.9","131.6","1.214","2.6","62.1"
"2024-11-28","15:17:37","9H","95.1","123.6","17.9","-7.7","5003","156.1","155.7","1.300","-14.8","122.9"
"2024-12-23","16:34:13","3H","96.1","134.2","18.1","-9.3","5441","189.0","194.3","1.396","-18.9","120.3"
"2024-02-14","12:04:29","Driver","109.2","160.0","11.2","3.6","4132","272.1","278.6","1.465","-9.3","172.4"
